Bin	Taxonomy	Domain
Candidatus_Aenigmarchaeota_archaeon_64	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_65	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_63	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_62	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_61	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_60	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_59	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_58	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_57	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_56	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_55	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_54	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_52	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_53	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_ex4484_14	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_ex4484_224	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_ex4484_56	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_SCGC_AAA011-F07	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_JGI_0000106-F11	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeum_subterraneum_SCGC_AAA011-O16	Aenigmarchaeota	Archaea
archaeon_GW2011_AR5	Aenigmarchaeota	Archaea
candidate_division_MSBL1_archaeon_SCGC-AAA382A20	Aenigmarchaeota	Archaea
Candidatus_Micrarchaeota_archaeon_RBG_16_49_10	Aenigmarchaeota	Archaea
Candidatus_Micrarchaeota_archaeon_RBG_16_36_9	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG1_02_38_14	Aenigmarchaeota	Archaea
archaeon_36	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG01_land_8_20_14_3_00_37_9	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG15_BIG_FIL_POST_REV_8_21_14_020_37_27	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_8_14_3_um_filter_37_24	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_10_14_3_um_filter_37_21	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_9_14_3_um_filter_37_18	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_10_14_0_8_um_filter_37_24	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_45	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_46	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_47	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_48	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_49	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_50	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_51	Aenigmarchaeota	Archaea
Meg22_1012_Bin_181	Aenigmarchaeota	Archaea
Meg22_1214_Bin_103	Aenigmarchaeota	Archaea
Meg22_1214_Bin_123	Aenigmarchaeota	Archaea
Meg22_1214_Bin_346	Aenigmarchaeota	Archaea
Meg22_1416_Bin_185	Aenigmarchaeota	Archaea
Meg22_1618_Bin_66	Aenigmarchaeota	Archaea
Meg22_810_Bin_261	Aenigmarchaeota	Archaea
Meg22_810_Bin_48	Aenigmarchaeota	Archaea
AB_3033_Bin_19	Aenigmarchaeota	Archaea
Thaumarchaeota_archaeon_951	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_950	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_949	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_948	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_947	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_946	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_945	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_943	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_ex4484_121	Aigarchaeota	Archaea
Candidatus_Caldiarchaeum_subterraneum	Aigarchaeota	Archaea
Aigarchaeota_archaeon_JGI_0000001-A7	Aigarchaeota	Archaea
Aigarchaeota_archaeon_SCGC_AAA471-D15	Aigarchaeota	Archaea
Aigarchaeota_archaeon_SCGC_AAA471-E14	Aigarchaeota	Archaea
Aigarchaeota_archaeon_JGI_0000106-J15	Aigarchaeota	Archaea
Aigarchaeota_archaeon_SCGC_AAA471-F17	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_JGI_OTU-1	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_JGI_OTU-2	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_JGI_OTU-3	Aigarchaeota	Archaea
archaeon_HR01	Aigarchaeota	Archaea
archaeon_HR02	Aigarchaeota	Archaea
Aigarchaeota_archaeon_NZ13_MG1	Aigarchaeota	Archaea
Candidatus_Altiarchaeales_archaeon_73	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_72	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_71	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_70	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_69	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_68	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_67	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_66	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_ex4484_2	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_ex4484_43	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_ex4484_96	Altiarchaeales	Archaea
Euryarchaeota_archaeon_SCGC_AAA252-I15	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_WOR_SM1_79	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_WOR_SM1_SCG	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_WOR_SM1_86-2	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_IMC4	Altiarchaeales	Archaea
Candidatus_Altiarchaeum_sp._CG2_30_32_3053	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_A3	Altiarchaeales	Archaea
Candidatus_Altiarchaeum_sp._CG12_big_fil_rev_8_21_14_0_65_33_22	Altiarchaeales	Archaea
Candidatus_Altiarchaeum_sp._CG_4_8_14_3_um_filter_33_2054	Altiarchaeales	Archaea
Candidatus_Altiarchaeum_sp._CG03_land_8_20_14_0_80_32_618	Altiarchaeales	Archaea
Candidatus_Altiarchaeum_sp._CG_4_9_14_0_8_um_filter_32_206	Altiarchaeales	Archaea
Candidatus_Altiarchaeum_sp._CG_4_10_14_0_8_um_filter_32_851	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_HGW-Altiarchaeales-2	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_HGW-Altiarchaeales-1	Altiarchaeales	Archaea
Candidatus_Altiarchaeales_archaeon_HGW-Altiarchaeales-3	Altiarchaeales	Archaea
Archaeoglobales_archaeon_24	Archaeoglobi	Archaea
Archaeoglobales_archaeon_23	Archaeoglobi	Archaea
Archaeoglobales_archaeon_21	Archaeoglobi	Archaea
Archaeoglobales_archaeon_22	Archaeoglobi	Archaea
Archaeoglobales_archaeon_19	Archaeoglobi	Archaea
Candidatus_Bathyarchaeota_archaeon_116	Archaeoglobi	Archaea
Archaeoglobales_archaeon_20	Archaeoglobi	Archaea
Archaeoglobales_archaeon_ex4484_92	Archaeoglobi	Archaea
Archaeoglobus_fulgidus_DSM_4304	Archaeoglobi	Archaea
Archaeoglobus_profundus_DSM_5631	Archaeoglobi	Archaea
Ferroglobus_placidus_DSM_10642	Archaeoglobi	Archaea
Archaeoglobus_veneficus_SNP6	Archaeoglobi	Archaea
Archaeoglobus_sulfaticallidus_PM70-1	Archaeoglobi	Archaea
Archaeoglobus_fulgidus_DSM_8774	Archaeoglobi	Archaea
Geoglobus_acetivorans	Archaeoglobi	Archaea
Geoglobus_ahangari	Archaeoglobi	Archaea
Archaeoglobus_fulgidus_25	Archaeoglobi	Archaea
Archaeoglobus_fulgidus_26	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-22	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-23	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-31	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-30	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-32	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-37	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-36	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-41	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-39	Archaeoglobi	Archaea
Archaeoglobi_archaeon_JdFR-42	Archaeoglobi	Archaea
Euryarchaeota_archaeon_JdFR-20	Archaeoglobi	Archaea
Euryarchaeota_archaeon_JdFR-21	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-24	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-27	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-35	Archaeoglobi	Archaea
Archaeoglobus_sp._JdFR-38	Archaeoglobi	Archaea
Archaeoglobus_sp._UBA234	Archaeoglobi	Archaea
Archaeoglobus_sp._UBA236	Archaeoglobi	Archaea
Geoglobus_sp._UBA235	Archaeoglobi	Archaea
Geoglobus_sp._UBA232	Archaeoglobi	Archaea
Archaeoglobus_sp._UBA231	Archaeoglobi	Archaea
Archaeoglobus_sp._UBA230	Archaeoglobi	Archaea
Archaeoglobi_archaeon	Archaeoglobi	Archaea
Archaeoglobus_sp.	Archaeoglobi	Archaea
Archaeoglobus_fulgidus_27	Archaeoglobi	Archaea
Meg22_02_Bin_154	Archaeoglobi	Archaea
Meg22_1416_Bin_154	Archaeoglobi	Archaea
Meg22_1618_Bin_73	Archaeoglobi	Archaea
Meg22_1618_Bin_89	Archaeoglobi	Archaea
Freyarchaeote_GBS03.faa	Baldrarchaeota	Archaea
Freyarchaeote_GBS04.faa	Baldrarchaeota	Archaea
Freyarchaeote_GBS02.faa	Baldrarchaeota	Archaea
B40_G15	Baldrarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_148	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_146	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_147	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_145	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_144	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_143	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_142	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_141	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_140	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_139	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_138	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_137	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_136	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_135	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_133	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_134	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_132	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_131	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_130	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_129	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_128	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_127	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_126	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_125	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_124	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_123	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_121	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_122	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_120	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_119	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_118	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_117	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_115	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_114	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_113	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_112	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_111	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_110	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_109	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_108	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_ex4484_135	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_ex4484_218	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_ex4484_231	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_ex4484_40	Bathyarchaeota	Archaea
Thaumarchaeota_archaeon_SCGC_AB-539-E09	Bathyarchaeota	Archaea
miscellaneous_Crenarchaeota_group-1_archaeon_SG8-32-3	Bathyarchaeota	Archaea
miscellaneous_Crenarchaeota_group-6_archaeon_AD8-1	Bathyarchaeota	Archaea
miscellaneous_Crenarchaeota_group-15_archaeon_DG-45	Bathyarchaeota	Archaea
miscellaneous_Crenarchaeota_group_archaeon_SMTZ-80	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_BA2	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_BA1	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_TCS64	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_B63	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_B25	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_B24	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_B23	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_B26-1	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_B26-2	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_RBG_13_46_16b	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_RBG_13_52_12	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_RBG_13_38_9	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_RBG_13_60_20	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_RBG_16_48_13	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_RBG_16_57_9	Bathyarchaeota	Archaea
archaeon_13_2_20CM_2_53_6	Bathyarchaeota	Archaea
archaeon_13_2_20CM_2_52_21	Bathyarchaeota	Archaea
archaeon_13_1_40CM_4_53_4	Bathyarchaeota	Archaea
Crenarchaeota_archaeon_13_1_40CM_3_53_5	Bathyarchaeota	Archaea
Crenarchaeota_archaeon_13_1_40CM_3_52_4	Bathyarchaeota	Archaea
Crenarchaeota_archaeon_13_1_40CM_3_52_17	Bathyarchaeota	Archaea
Crenarchaeota_archaeon_13_1_40CM_3_52_10	Bathyarchaeota	Archaea
Crenarchaeota_archaeon_13_1_40CM_2_52_14	Bathyarchaeota	Archaea
archaeon_13_1_40CM_2_52_4	Bathyarchaeota	Archaea
archaeon_13_1_40CM_2_52_13	Bathyarchaeota	Archaea
archaeon_13_1_20CM_52_20	Bathyarchaeota	Archaea
Crenarchaeota_archaeon_13_1_20CM_2_53_14	Bathyarchaeota	Archaea
archaeon_13_1_20CM_2_54_9	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-05	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-10	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-04	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-06	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-07	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-08	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-09	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_JdFR-11	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_B24-2	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_UBA185	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_UBA233	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_UBA589	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_76	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_CG_4_8_14_3_um_filter_42_8	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_77	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_78	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_79	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_80	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_81	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_82	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_83	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_84	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_86	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_87	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_88	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_91	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_92	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_93	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_94	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_95	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_96	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_97	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_98	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_99	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_100	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_101	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_102	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_103	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_104	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_105	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_106	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_107	Bathyarchaeota	Archaea
Meg19_1012_Bin_109	Bathyarchaeota	Archaea
Meg19_1012_Bin_114	Bathyarchaeota	Archaea
Meg19_1012_Bin_117	Bathyarchaeota	Archaea
Meg19_1012_Bin_174	Bathyarchaeota	Archaea
Meg19_1012_Bin_270	Bathyarchaeota	Archaea
Meg19_1012_Bin_301	Bathyarchaeota	Archaea
Meg19_1012_Bin_341	Bathyarchaeota	Archaea
Meg19_1012_Bin_394	Bathyarchaeota	Archaea
Meg22_02_Bin_114	Bathyarchaeota	Archaea
Meg22_02_Bin_125	Bathyarchaeota	Archaea
Meg22_02_Bin_89	Bathyarchaeota	Archaea
Meg22_1012_Bin_126	Bathyarchaeota	Archaea
Meg22_1012_Bin_128	Bathyarchaeota	Archaea
Meg22_1012_Bin_266	Bathyarchaeota	Archaea
Meg22_1012_Bin_32	Bathyarchaeota	Archaea
Meg22_1012_Bin_322	Bathyarchaeota	Archaea
Meg22_1012_Bin_333	Bathyarchaeota	Archaea
Meg22_1012_Bin_340	Bathyarchaeota	Archaea
Meg22_1012_Bin_351	Bathyarchaeota	Archaea
Meg22_1012_Bin_37	Bathyarchaeota	Archaea
Meg22_1012_Bin_7	Bathyarchaeota	Archaea
Meg22_1012_Bin_99	Bathyarchaeota	Archaea
Meg22_1214_Bin_113	Bathyarchaeota	Archaea
Meg22_1214_Bin_119	Bathyarchaeota	Archaea
Meg22_1214_Bin_206	Bathyarchaeota	Archaea
Meg22_1214_Bin_211	Bathyarchaeota	Archaea
Meg22_1214_Bin_240	Bathyarchaeota	Archaea
Meg22_1214_Bin_253	Bathyarchaeota	Archaea
Meg22_1214_Bin_259	Bathyarchaeota	Archaea
Meg22_1214_Bin_281	Bathyarchaeota	Archaea
Meg22_1214_Bin_305	Bathyarchaeota	Archaea
Meg22_1214_Bin_312	Bathyarchaeota	Archaea
Meg22_1214_Bin_313	Bathyarchaeota	Archaea
Meg22_1214_Bin_327	Bathyarchaeota	Archaea
Meg22_1214_Bin_334	Bathyarchaeota	Archaea
Meg22_1214_Bin_337	Bathyarchaeota	Archaea
Meg22_1214_Bin_356	Bathyarchaeota	Archaea
Meg22_1214_Bin_37	Bathyarchaeota	Archaea
Meg22_1214_Bin_387	Bathyarchaeota	Archaea
Meg22_1214_Bin_45	Bathyarchaeota	Archaea
Meg22_1416_Bin_108_2_1	Bathyarchaeota	Archaea
Meg22_1416_Bin_116	Bathyarchaeota	Archaea
Meg22_1416_Bin_136_2_1	Bathyarchaeota	Archaea
Meg22_1416_Bin_41	Bathyarchaeota	Archaea
Meg22_1416_Bin_50	Bathyarchaeota	Archaea
Meg22_1416_Bin_98	Bathyarchaeota	Archaea
Meg22_1618_Bin_144	Bathyarchaeota	Archaea
Meg22_1618_Bin_146	Bathyarchaeota	Archaea
Meg22_1618_Bin_148	Bathyarchaeota	Archaea
Meg22_1618_Bin_15	Bathyarchaeota	Archaea
Meg22_1618_Bin_166	Bathyarchaeota	Archaea
Meg22_1618_Bin_173	Bathyarchaeota	Archaea
Meg22_1618_Bin_44	Bathyarchaeota	Archaea
Meg22_1618_Bin_51	Bathyarchaeota	Archaea
Meg22_1618_Bin_53	Bathyarchaeota	Archaea
Meg22_1618_Bin_77	Bathyarchaeota	Archaea
Meg22_1618_Bin_79	Bathyarchaeota	Archaea
Meg22_1618_Bin_86	Bathyarchaeota	Archaea
Meg22_1618_Bin_88	Bathyarchaeota	Archaea
Meg22_1618_Bin_90	Bathyarchaeota	Archaea
Meg22_24_Bin_131	Bathyarchaeota	Archaea
Meg22_24_Bin_137	Bathyarchaeota	Archaea
Meg22_24_Bin_37	Bathyarchaeota	Archaea
Meg22_24_Bin_39	Bathyarchaeota	Archaea
Meg22_24_Bin_79	Bathyarchaeota	Archaea
Meg22_46_Bin_111	Bathyarchaeota	Archaea
Meg22_46_Bin_121	Bathyarchaeota	Archaea
Meg22_46_Bin_136	Bathyarchaeota	Archaea
Meg22_46_Bin_21	Bathyarchaeota	Archaea
Meg22_46_Bin_56	Bathyarchaeota	Archaea
Meg22_810_Bin_112	Bathyarchaeota	Archaea
Meg22_810_Bin_12	Bathyarchaeota	Archaea
Meg22_810_Bin_149	Bathyarchaeota	Archaea
Meg22_810_Bin_15	Bathyarchaeota	Archaea
Meg22_810_Bin_36	Bathyarchaeota	Archaea
Meg22_810_Bin_37	Bathyarchaeota	Archaea
Meg22_810_Bin_67	Bathyarchaeota	Archaea
Meg22_810_Bin_72	Bathyarchaeota	Archaea
AB_1215_Bin_100	Bathyarchaeota	Archaea
AB_1215_Bin_112	Bathyarchaeota	Archaea
AB_1215_Bin_133	Bathyarchaeota	Archaea
AB_1215_Bin_138	Bathyarchaeota	Archaea
AB_1215_Bin_143	Bathyarchaeota	Archaea
AB_1215_Bin_2	Bathyarchaeota	Archaea
AB_3033_Bin_132	Bathyarchaeota	Archaea
AB_3033_Bin_173	Bathyarchaeota	Archaea
AB_69_Bin_120	Bathyarchaeota	Archaea
AB_69_Bin_173	Bathyarchaeota	Archaea
AB_69_Bin_201	Bathyarchaeota	Archaea
AB_69_Bin_224	Bathyarchaeota	Archaea
AB_69_Bin_75	Bathyarchaeota	Archaea
Candidatus_Bathyarchaeota_archaeon_ex4484_205	Brockarchaeota	Archaea
GD2_1_47_42_Brock	Brockarchaeota	Archaea
JZ-2.136_Brock	Brockarchaeota	Archaea
JZZ.4_Brock	Brockarchaeota	Archaea
QC4_43_77_Brock	Brockarchaeota	Archaea
QC4_48_22_Brock	Brockarchaeota	Archaea
QZM_A2_48_33_Brock	Brockarchaeota	Archaea
QZM_A3_48_16_Brock	Brockarchaeota	Archaea
DRTY-1.18_Brock	Brockarchaeota	Archaea
DRTY-6.200_Brock	Brockarchaeota	Archaea
DRTY-6.80_Brock	Brockarchaeota	Archaea
DRTY7_35_44_Brock	Brockarchaeota	Archaea
DRTY7.37_Brock	Brockarchaeota	Archaea
B27_G9_Brock	Brockarchaeota	Archaea
B48_G17.Brock	Brockarchaeota	Archaea
Thermoprotei_archaeon_1042	Crenarchaeota	Archaea
Thermoprotei_archaeon_1063	Crenarchaeota	Archaea
Thermoprotei_archaeon_1041	Crenarchaeota	Archaea
Thermoprotei_archaeon_1040	Crenarchaeota	Archaea
Thermoprotei_archaeon_1024	Crenarchaeota	Archaea
Thermoprotei_archaeon_1058	Crenarchaeota	Archaea
Thermoprotei_archaeon_1062	Crenarchaeota	Archaea
Thermoprotei_archaeon_1057	Crenarchaeota	Archaea
Thermoprotei_archaeon_1039	Crenarchaeota	Archaea
Thermoprotei_archaeon_1038	Crenarchaeota	Archaea
Thermoprotei_archaeon_1037	Crenarchaeota	Archaea
Thermoprotei_archaeon_1056	Crenarchaeota	Archaea
Thermoprotei_archaeon_1036	Crenarchaeota	Archaea
Thermoprotei_archaeon_1035	Crenarchaeota	Archaea
Thermoprotei_archaeon_1048	Crenarchaeota	Archaea
Thermoprotei_archaeon_1047	Crenarchaeota	Archaea
Thermoprotei_archaeon_1034	Crenarchaeota	Archaea
Thermoprotei_archaeon_1033	Crenarchaeota	Archaea
Thermoprotei_archaeon_1032	Crenarchaeota	Archaea
Thermoprotei_archaeon_1031	Crenarchaeota	Archaea
Thermoprotei_archaeon_1030	Crenarchaeota	Archaea
Thermoprotei_archaeon_1029	Crenarchaeota	Archaea
Thermoprotei_archaeon_1028	Crenarchaeota	Archaea
Thermoprotei_archaeon_1055	Crenarchaeota	Archaea
Thermoprotei_archaeon_1027	Crenarchaeota	Archaea
